mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-2.96406,2.34166,-7.97367,4.24504,2.47333,2.96466,hand_wash
-2.89150,2.32793,-4.21073,2.40475,7.67333,3.50874,hand_wash
-2.62609,2.76209,-2.63387,2.80432,8.89622,5.39781,hand_wash
-7.14069,6.46060,-4.67271,5.20149,1.23604,3.69898,not_hand_wash
-9.00116,4.08593,-3.78312,3.30589,0.59553,1.31530,not_hand_wash
-10.23662,3.74719,-3.80970,2.71892,-0.74155,2.41377,not_hand_wash
-7.93402,2.76071,-4.70373,2.20658,-1.06315,1.04064,not_hand_wash
-9.23283,3.13277,-4.81832,2.39777,-1.49273,1.99208,not_hand_wash
-10.08953,3.48322,-3.13124,2.72791,0.65690,2.05639,not_hand_wash
-9.55345,2.67417,-3.56133,2.09293,0.46223,2.13824,not_hand_wash
-1.12249,3.85914,-3.71256,3.28796,-6.84093,3.10389,not_hand_wash
1.13626,0.91699,-5.88505,1.66023,-6.54440,1.84981,not_hand_wash
2.40163,0.74488,-7.34699,1.88452,-4.26364,1.45996,not_hand_wash
1.53198,0.85633,-7.84102,2.06788,-3.51803,1.26154,not_hand_wash
2.34206,0.70037,-7.94674,1.97106,-3.61760,1.03702,not_hand_wash
1.44648,0.89909,-8.08697,2.09104,-3.05359,1.02974,not_hand_wash
0.97858,0.68634,-8.38940,1.86737,-3.11839,0.83176,not_hand_wash
1.18748,0.48598,-8.49747,1.93171,-2.45545,1.01498,not_hand_wash
1.71636,0.50307,-8.67520,1.86189,-1.69130,0.78408,not_hand_wash
1.07682,0.50882,-8.29216,1.97185,-2.85001,1.11517,not_hand_wash
-3.40491,6.62504,-5.82784,3.26369,-1.62846,2.31766,not_hand_wash
-9.68150,4.32630,-3.33447,2.78663,0.37549,2.56200,not_hand_wash
-5.47242,5.86985,-5.83158,3.69234,-5.20563,2.93890,not_hand_wash
-1.17928,1.09669,-4.25634,1.44490,-7.37087,1.81161,not_hand_wash
-2.30520,0.62976,-6.77456,1.57296,-5.32078,1.26287,not_hand_wash
-2.85278,0.64793,-6.96591,1.65151,-4.52888,1.13920,not_hand_wash
-3.04558,0.66481,-6.09772,1.38115,-5.62195,1.27332,not_hand_wash
-6.31482,2.60999,-5.55818,1.40576,-2.98665,1.89451,not_hand_wash
-9.09952,2.36756,-1.72596,1.89413,0.24808,1.22092,not_hand_wash
